Date,Z_Score,Signal,Position
2025-02-27 15:30:00+00:00,1.2286561021596718,-1,-1
2025-02-27 16:30:00+00:00,1.2712949037067711,-1,-1
2025-02-27 17:30:00+00:00,1.2391733548830202,-1,-1
2025-02-27 18:30:00+00:00,1.2479897482334543,-1,-1
2025-02-27 19:30:00+00:00,1.1404054068646197,-1,-1
2025-02-27 20:30:00+00:00,1.0647332813923525,-1,-1
2025-02-28 14:30:00+00:00,0.9928006915851415,-1,-1
2025-02-28 15:30:00+00:00,1.0237653955893495,-1,-1
2025-02-28 16:30:00+00:00,1.060254660286759,-1,-1
2025-02-28 17:30:00+00:00,1.014277666804859,-1,-1
2025-02-28 18:30:00+00:00,1.0536666749355827,-1,-1
2025-02-28 19:30:00+00:00,1.1869426486461225,-1,-1
2025-02-28 20:30:00+00:00,1.2345016825858275,-1,-1
2025-03-03 14:30:00+00:00,1.1243309745789138,-1,-1
2025-03-03 15:30:00+00:00,1.3911311490744613,-1,-1
2025-03-03 16:30:00+00:00,1.5436026577389108,-1,-1
2025-03-03 17:30:00+00:00,1.5712546805518286,-1,-1
2025-03-03 18:30:00+00:00,1.4472503223712347,-1,-1
2025-03-03 19:30:00+00:00,1.5692538686815605,-1,-1
2025-03-03 20:30:00+00:00,1.719555401255337,-1,-1
2025-03-04 14:30:00+00:00,1.8015763013329305,-1,-1
2025-03-04 15:30:00+00:00,1.5299745637820554,-1,-1
2025-03-04 16:30:00+00:00,1.1602684338768232,-1,-1
2025-03-04 17:30:00+00:00,1.1628851510800402,-1,-1
2025-03-04 18:30:00+00:00,1.009118473579675,-1,-1
2025-03-04 19:30:00+00:00,0.9668779461916194,-1,-1
2025-03-04 20:30:00+00:00,0.9138851511295959,-1,-1
2025-03-05 14:30:00+00:00,0.9092470448498817,-1,-1
2025-03-05 15:30:00+00:00,0.9413125213297717,-1,-1
2025-03-05 16:30:00+00:00,1.0632911928070763,-1,-1
2025-03-05 17:30:00+00:00,0.9890239775688137,-1,-1
2025-03-05 18:30:00+00:00,1.0460402266820115,-1,-1
2025-03-05 19:30:00+00:00,0.9791930747719741,-1,-1
2025-03-05 20:30:00+00:00,0.8547758217953183,-1,-1
2025-03-06 14:30:00+00:00,0.6426377700050122,-1,-1
2025-03-06 15:30:00+00:00,0.7897073939782094,-1,-1
2025-03-06 16:30:00+00:00,0.6549324214416741,-1,-1
2025-03-06 17:30:00+00:00,0.6525946505704456,-1,-1
2025-03-06 18:30:00+00:00,0.7900458217590934,-1,-1
2025-03-06 19:30:00+00:00,0.9448725337832959,-1,-1
2025-03-06 20:30:00+00:00,1.019437985114641,-1,-1
2025-03-07 14:30:00+00:00,1.214588446300497,-1,-1
2025-03-07 15:30:00+00:00,1.3508748494070033,-1,-1
2025-03-07 16:30:00+00:00,1.4713770266634922,-1,-1
2025-03-07 17:30:00+00:00,1.478688626706358,-1,-1
2025-03-07 18:30:00+00:00,1.3683471313149722,-1,-1
2025-03-07 19:30:00+00:00,1.2716928543725023,-1,-1
2025-03-07 20:30:00+00:00,1.3498752110527468,-1,-1
2025-03-10 13:30:00+00:00,1.8572217388450283,-1,-1
2025-03-10 14:30:00+00:00,1.9982927688653551,-1,-1
2025-03-10 15:30:00+00:00,1.9495772413867496,-1,-1
2025-03-10 16:30:00+00:00,1.8591243806992541,-1,-1
2025-03-10 17:30:00+00:00,1.8071150382346086,-1,-1
2025-03-10 18:30:00+00:00,1.4808283401717544,-1,-1
2025-03-10 19:30:00+00:00,1.4363284215154444,-1,-1
2025-03-11 13:30:00+00:00,1.3406562042593928,-1,-1
2025-03-11 14:30:00+00:00,1.1220994540465297,-1,-1
2025-03-11 15:30:00+00:00,1.1141091711054765,-1,-1
2025-03-11 16:30:00+00:00,1.148365317217719,-1,-1
2025-03-11 17:30:00+00:00,1.1244531987217312,-1,-1
2025-03-11 18:30:00+00:00,1.1768493195853202,-1,-1
2025-03-11 19:30:00+00:00,1.128824158277314,-1,-1
2025-03-12 13:30:00+00:00,0.6982505284329869,-1,-1
2025-03-12 14:30:00+00:00,0.599390864881219,0,-1
2025-03-12 15:30:00+00:00,0.675579472565979,0,-1
2025-03-12 16:30:00+00:00,0.6646806842579097,0,-1
2025-03-12 17:30:00+00:00,0.728953144361715,-1,-1
2025-03-12 18:30:00+00:00,0.6159324113133449,0,-1
2025-03-12 19:30:00+00:00,0.5852123979592855,0,-1
2025-03-13 13:30:00+00:00,0.46433073450277845,0,-1
2025-03-13 14:30:00+00:00,0.4443642282784693,0,-1
2025-03-13 15:30:00+00:00,0.4219758791291318,0,-1
2025-03-13 16:30:00+00:00,0.41699169096636235,0,-1
2025-03-13 17:30:00+00:00,0.39491140763255844,0,-1
2025-03-13 18:30:00+00:00,0.4466145446539816,0,-1
2025-03-13 19:30:00+00:00,0.50033955129414,0,-1
2025-03-14 13:30:00+00:00,0.2694179288796172,0,-1
2025-03-14 14:30:00+00:00,0.26920745247535177,0,-1
2025-03-14 15:30:00+00:00,0.22879350134295617,0,-1
2025-03-14 16:30:00+00:00,0.3041266014341887,0,-1
2025-03-14 17:30:00+00:00,0.24442914017879253,0,-1
2025-03-14 18:30:00+00:00,0.32253372290967114,0,-1
2025-03-14 19:30:00+00:00,0.33354566062254254,0,-1
2025-03-17 13:30:00+00:00,0.7378416542221005,0,-1
2025-03-17 14:30:00+00:00,0.6059501158908106,0,-1
2025-03-17 15:30:00+00:00,0.6393259966344078,0,-1
2025-03-17 16:30:00+00:00,0.6772462231588388,0,-1
2025-03-17 17:30:00+00:00,0.7100505327628378,0,-1
2025-03-17 18:30:00+00:00,0.7579373316445329,0,-1
2025-03-17 19:30:00+00:00,0.784257447099017,0,-1
2025-03-18 13:30:00+00:00,0.6040053485770637,0,-1
2025-03-18 14:30:00+00:00,0.5670853877479586,0,-1
2025-03-18 15:30:00+00:00,0.6182044341411829,0,-1
2025-03-18 16:30:00+00:00,0.5271543186504788,0,-1
2025-03-18 17:30:00+00:00,0.5178412512330819,0,-1
2025-03-18 18:30:00+00:00,0.47013806953728093,0,-1
2025-03-18 19:30:00+00:00,0.4406576951908436,0,-1
2025-03-19 13:30:00+00:00,0.3408496416264302,0,-1
2025-03-19 14:30:00+00:00,0.2006229299374711,0,-1
2025-03-19 15:30:00+00:00,0.23986375557256578,0,-1
2025-03-19 16:30:00+00:00,0.17100430950017328,0,-1
2025-03-19 17:30:00+00:00,0.15301143598770273,0,-1
2025-03-19 18:30:00+00:00,0.3366723363322907,0,-1
2025-03-19 19:30:00+00:00,0.3756414596497281,0,-1
2025-03-20 13:30:00+00:00,0.44552752758068703,0,-1
2025-03-20 14:30:00+00:00,0.2791705581993284,0,-1
2025-03-20 15:30:00+00:00,0.37368899839751923,0,-1
2025-03-20 16:30:00+00:00,0.33675812241309266,0,-1
2025-03-20 17:30:00+00:00,0.342476382526308,0,-1
2025-03-20 18:30:00+00:00,0.35552308394352594,0,-1
2025-03-20 19:30:00+00:00,0.47371522230465996,0,-1
2025-03-21 13:30:00+00:00,0.10396986466345855,0,-1
2025-03-21 14:30:00+00:00,0.07534941380048865,0,-1
2025-03-21 15:30:00+00:00,0.10758471000504674,0,-1
2025-03-21 16:30:00+00:00,0.02941284957586037,0,-1
2025-03-21 17:30:00+00:00,-0.009971526421683563,0,-1
2025-03-21 18:30:00+00:00,-0.07999055921935189,0,-1
2025-03-21 19:30:00+00:00,0.0417725067506278,0,-1
2025-03-24 13:30:00+00:00,0.0791203417645596,0,-1
2025-03-24 14:30:00+00:00,0.12513597223050021,0,-1
2025-03-24 15:30:00+00:00,0.1398509594023379,0,-1
2025-03-24 16:30:00+00:00,0.06347300883846248,0,-1
2025-03-24 17:30:00+00:00,0.08271650223568627,0,-1
2025-03-24 18:30:00+00:00,0.10051066283806194,0,-1
2025-03-24 19:30:00+00:00,0.17292878166503725,0,-1
2025-03-25 13:30:00+00:00,0.11432887166846849,0,-1
2025-03-25 14:30:00+00:00,0.11168161773311681,0,-1
2025-03-25 15:30:00+00:00,0.059177828946753906,0,-1
2025-03-25 16:30:00+00:00,0.12611061529194592,0,-1
2025-03-25 17:30:00+00:00,0.11929302179382142,0,-1
2025-03-25 18:30:00+00:00,0.07727978763058324,0,-1
2025-03-25 19:30:00+00:00,0.10901922026483932,0,-1
2025-03-26 13:30:00+00:00,0.3506272640423054,0,-1
2025-03-26 14:30:00+00:00,0.4514987806746221,-1,-1
2025-03-26 15:30:00+00:00,0.5319085835989489,-1,-1
2025-03-26 16:30:00+00:00,0.6219593178468679,-1,-1
